row,move,count
296,Qxe4,2801331
297,fxe4,2766358
298,Rxb4,823633
299,Rxb5,826305
300,Bxa6,856733
301,Nxa6,380567
302,Nb8,666318
303,Qa6,1127695
304,Qxa1,693487
305,bxc6,3796141
306,Nxc6,3017495
307,Qb5,2202600
308,Nxa4,420068
309,Nd5,9305060
310,Nxc4,1943066
311,N4xe5,2740
312,gxf3,2421374
313,Ra1,2683290
314,Bc1,1050373
315,Rb3,1680803
316,Rxd3,1393662
317,Bc3,2333866
318,Bd4,3197589
319,f6,9026007
320,Rb6,1670617
321,Ra6,1542241
322,Nxf6,3138611
323,Ke6,4414546
324,Kxf5,513907
325,Bxf2,1058332
326,Kxf2,982845
327,Rh5,1222542
328,Rg5,1375378
329,h4,11712176
330,h2,582312
331,h1=Q,323141
332,Kd3,3872227
333,Qh4,3580541
334,Rg3,1901608
335,Qh2,794471
336,Kf1,4592773
337,Rg1,3438116
338,dxc4,3248739
339,Qe8,2081927
340,Qxe2,1627408
341,Rfe1,2477651
342,Qxg2,1112341
343,Qxd6,2368398
344,Nxg2,359309
345,Kxg2,919993
346,Qg6,3211580
347,Qe6,3431104
348,Ng5,5828723
349,Qd5,3252769
350,Qxd1,1402675
351,Rxd1,2777078
352,Na6,1567485
353,Bxh6,1439934
354,Nxe6,1747767
355,Kf8,4894862
356,Bh5,2616754
357,Raf1,506621
358,Rae8,1614408
359,Bxf1,672958
360,Bg2,4892940
361,Bxg4,1625919
362,Bc8,1230018
363,Bxd5,3899572
364,Bd2,6139706
365,Nxf2,863095
366,Nxh1,204017
367,Qh1,617195
368,Qf2,2274385
369,Nxd5,6826472
370,Qc6,2755034
371,Bxh7,589284
372,Kh8,4880104
373,Rfc1,698428
374,Bc6,2749985
375,Bxg6,1147623
376,Nxg6,1166860
377,Nxe7,1248076
378,Bxg2,994773
379,Qxh5,950165
380,Qxh4,928698
381,Rc7,2969660
382,Qxe7,2004574
383,Rxe7,1429425
384,Kxe7,564262
385,Qe3,4040308
386,Qxh7,878203
387,Ba2,873555
388,exf4,2480955
389,Bxf4,2569581
390,Rae1,1819093
391,Rxe3,1415911
392,Rxf8,1643697
393,Nxf8,570537
394,Qb4,2266134
395,Bxe3,1743592
396,Qxb4,999964
397,Bxb7,1063439
398,Nc4,4666124
399,Nxb2,511572
400,dxc6,1541473
401,Nxf7,1365190
402,Kxf7,1496798
403,Kd7,4767045
404,Rh8,2239682
405,Qxg7,1206889
406,Qh7,922191
407,Nc8,470017
408,Qxg8,230019
409,Qxg6,1128553
410,O-O-O,8325883
411,Nf7,1316871
412,Nh8,71374
413,dxe6,1034611
414,Kc8,1583614
